"Year","Age Group","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2021","45 to 49","Hawaii","12**","83,159","14.43**","--","221"
"2021","45 to 49","Idaho","31","108,152","28.66","--","551"
"2021","45 to 49","Illinois","127","772,063","16.45","--","2,319"
"2021","45 to 49","Indiana","70","399,900","17.50","--","1,266"
"2021","45 to 49","Iowa","48","175,075","27.42","--","866"
"2021","45 to 49","Kansas","42","161,634","25.99","--","759"
"2021","45 to 49","Kentucky","60","270,922","22.15","--","1,074"
"2021","45 to 49","Louisiana","51","259,788","19.63","--","915"
"2021","45 to 49","Maine","17**","78,928","21.54**","--","309"
"2021","45 to 49","Maryland","49","371,585","13.19","--","873"
"2021","45 to 49","Massachusetts","38","410,712","9.25","--","680"
"2021","45 to 49","Michigan","98","576,745","16.99","--","1,761"
"2021","45 to 49","Minnesota","56","319,464","17.53","--","996"
"2021","45 to 49","Mississippi","43","173,638","24.76","--","773"
"2021","45 to 49","Missouri","80","348,770","22.94","--","1,410"
"2021","45 to 49","Montana","25","59,223","42.21","--","451"
"2021","45 to 49","Nebraska","29","108,509","26.73","--","526"
"2021","45 to 49","Nevada","57","194,333","29.33","--","1,022"
"2021","45 to 49","New Hampshire","22","80,174","27.44","--","398"
"2021","45 to 49","New Jersey","54","581,917","9.28","--","978"
"2021","45 to 49","New Mexico","37","116,006","31.90","--","657"
"2021","45 to 49","New York","124","1,165,149","10.64","--","2,255"
"2021","45 to 49","North Carolina","104","651,520","15.96","--","1,868"
"2021","45 to 49","North Dakota","14**","38,821","36.06**","--","257"
"2021","45 to 49","Ohio","123","678,012","18.14","--","2,212"
"2021","45 to 49","Oklahoma","57","226,298","25.19","--","1,018"
"2021","45 to 49","Oregon","66","258,273","25.55","--","1,170"
"2021","45 to 49","Pennsylvania","147","736,358","19.96","--","2,601"
"2021","45 to 49","Rhode Island","11**","61,605","17.86**","--","187"
"2021","45 to 49","South Carolina","64","303,449","21.09","--","1,155"
"2021","45 to 49","South Dakota","16**","46,213","34.62**","--","294"
"2021","45 to 49","Tennessee","102","422,172","24.16","--","1,823"
"2021","45 to 49","Texas","337","1,842,949","18.29","--","6,048"
"2021","45 to 49","Utah","63","190,063","33.15","--","1,142"
"2021","45 to 49","Vermont","10**","36,081","27.72**","--","170"
"2021","45 to 49","Virginia","69","527,239","13.09","--","1,249"
"2021","45 to 49","Washington","68","457,470","14.86","--","1,231"
"2021","45 to 49","West Virginia","34","108,921","31.22","--","614"
"2021","45 to 49","Wisconsin","75","331,822","22.60","--","1,354"
"2021","45 to 49","Wyoming","11**","32,116","34.25**","--","205"
"2021","50 to 54","Alabama","71","320,799","22.13","--","957"
"2021","50 to 54","Alaska","11**","42,538","25.86**","--","146"
"2021","50 to 54","Arizona","105","429,161","24.47","--","1,372"
"2021","50 to 54","Arkansas","51","182,164","28.00","--","661"
"2021","50 to 54","California","325","2,497,533","13.01","--","4,221"
"2021","50 to 54","Colorado","104","354,748","29.32","--","1,365"
"2021","50 to 54","Connecticut","28","247,603","11.31","--","372"
"2021","50 to 54","Delaware","--","62,582","--","--","--"
"2021","50 to 54","District of Columbia","--","34,616","--","--","--"
"2021","50 to 54","Florida","248","1,397,438","17.75","--","3,180"
"2021","50 to 54","Georgia","137","712,735","19.22","--","1,804"
